x,y
43.5,52.25
47.0,62.0
34.0,64.0
42.5,50.5
44.0,56.5
41.0,51.333333333333336
39.0,34.0
47.5,51.5
39.0,70.0
46.0,54.0
47.5,54.5
75.0,56.0
46.6,50.8
47.0,60.0
43.0,51.5
47.0,64.0
39.0,49.5
35.0,59.0
45.0,50.666666666666664
42.0,66.0
36.333333333333336,56.666666666666664
45.666666666666664,54.333333333333336
38.0,52.0
45.5,62.0
44.5,54.0
47.0,63.0
38.666666666666664,52.0
35.0,60.0
46.5,60.0
47.0,52.5
46.5,63.5
43.2,51.4
47.0,56.0
48.0,50.5
31.0,69.0
44.5,53.5
42.5,66.5
43.666666666666664,52.666666666666664
44.5,63.0
45.5,52.0
38.333333333333336,53.333333333333336
5.0,50.0
46.5,50.5
35.0,59.5
45.333333333333336,49.666666666666664
46.0,55.5
39.0,49.0
47.5,52.5
39.0,51.75
45.0,61.0
40.5,51.25
45.5,50.0
50.0,53.0
49.0,59.333333333333336
41.0,52.0
37.44444444444444,56.0
31.0,65.0
48.0,52.5
32.5,65.5
28.0,72.0
48.5,53.5
45.0,59.0
41.0,53.0
43.5,64.5
38.0,72.0
44.0,51.5
48.5,59.0
73.0,60.0
46.0,51.5
35.0,61.0
47.0,52.5
37.0,60.0
47.0,57.25
46.0,48.0
47.666666666666664,59.666666666666664
59.0,66.0
44.0,63.0
41.5,52.0
39.0,66.0
45.5,50.5
36.0,56.0
47.5,52.0
35.0,60.0
45.0,56.0
40.0,51.5
31.5,67.0
41.666666666666664,50.666666666666664
46.0,61.0
47.666666666666664,52.666666666666664
34.0,64.0
41.5,56.5
38.0,67.0
45.0,51.5
35.0,58.0
44.8,54.6
71.0,125.0
44.0,62.5
48.0,59.0
43.5,51.5
49.0,53.0
40.5,50.0
47.0,53.0
35.0,90.0
33.5,63.0
46.333333333333336,50.0
44.5,62.5
41.5,51.0
46.5,56.5
40.0,65.0
40.0,52.0
45.0,58.0
37.5,50.0
28.0,89.0
46.0,60.5
44.666666666666664,51.0
37.0,53.0
46.666666666666664,61.0
44.0,48.0
38.0,52.0
49.0,60.0
38.666666666666664,53.0
26.0,87.0
45.333333333333336,51.0
34.0,62.0
43.5,50.5
15.0,78.0
37.5,54.0
46.0,63.5
26.0,78.0
48.333333333333336,60.666666666666664
41.5,50.0
41.0,65.0
46.0,53.5
43.0,51.5
46.0,57.5
38.0,71.0
46.5,62.0
34.0,63.0
35.5,55.5
48.0,50.0
46.0,55.0
39.0,54.0
44.5,54.5
38.666666666666664,50.666666666666664
34.0,61.0
42.333333333333336,52.0
34.0,60.0
39.0,68.5
47.0,61.333333333333336
41.75,53.0
44.5,57.5
43.333333333333336,51.666666666666664
45.5,62.0
43.0,52.666666666666664
37.0,51.0
30.0,68.0
46.5,53.5
38.666666666666664,56.0
41.5,48.5
38.0,53.0
45.5,51.5
36.75,53.5
47.0,59.0
44.0,64.0
36.5,51.5
46.0,49.0
38.5,69.5
44.0,50.666666666666664
40.5,66.5
47.666666666666664,53.0
31.0,66.0
35.5,54.5
30.0,69.5
39.5,51.5
46.0,59.0
38.5,50.5
46.5,50.5
63.0,56.0
44.0,55.5
46.5,50.5
34.0,60.0
45.5,58.0
37.5,52.0
43.0,64.0
43.5,52.0
28.0,72.0
47.0,50.5
29.0,72.0
40.0,49.666666666666664
46.0,51.0
34.0,59.0
43.5,63.5
49.0,50.0
39.666666666666664,50.333333333333336
46.0,53.333333333333336
48.0,58.0
40.875,51.0
46.833333333333336,51.666666666666664
35.0,55.666666666666664
43.5,49.5
37.0,55.0
41.0,64.0
37.666666666666664,54.0
45.666666666666664,51.0
46.0,59.333333333333336
30.0,67.0
45.5,59.5
41.5,52.0
46.0,49.0
45.75,57.75
44.0,48.5
31.0,64.0
44.25,49.75
27.0,73.0
37.0,52.0
45.0,53.0
38.0,50.333333333333336
45.0,53.0
70.0,56.0
45.5,59.0
35.5,53.0
44.666666666666664,50.666666666666664
35.0,56.0
44.5,51.5
38.0,72.0
45.5,52.5
40.5,51.0
27.0,74.0
44.0,53.0
40.5,51.5
33.0,67.0
38.666666666666664,49.333333333333336
32.5,62.0
37.0,52.0
33.0,62.0
41.5,51.5
44.0,55.5
36.0,50.0
41.5,54.0
33.5,61.0
44.5,51.0
35.0,55.0
46.0,51.0
45.0,59.0
39.5,48.5
48.0,59.5
32.0,63.0
44.333333333333336,58.333333333333336
36.0,55.5
44.0,62.0
38.0,52.5
46.5,52.5
34.5,55.5
36.0,50.0
43.0,57.0
29.0,73.0
44.0,51.0
39.0,51.0
45.0,50.5
9.0,55.0
44.833333333333336,52.666666666666664
36.0,51.0
42.5,64.0
30.0,69.0
45.0,55.5
13.0,48.0
44.0,50.5
40.0,67.0
45.5,52.0
41.0,65.0
41.5,49.0
44.0,62.0
35.5,55.0
36.0,50.0
47.0,56.5
36.5,53.5
39.0,50.0
44.0,59.0
44.5,50.5
35.0,56.0
42.333333333333336,51.0
31.333333333333332,63.333333333333336
34.0,57.0
39.5,52.0
34.0,62.0
40.5,50.5
44.5,60.0
47.0,50.0
35.5,56.5
35.5,51.5
35.5,65.5
46.0,53.0
41.0,51.5
33.0,61.0
42.5,48.0
54.0,96.0
38.8,53.4
30.0,68.0
44.0,48.5
27.0,72.0
36.5,51.5
44.0,58.5
43.0,47.0
39.5,49.0
31.0,63.0
43.333333333333336,51.666666666666664
34.0,57.0
46.0,57.5
35.0,53.5
35.0,60.0
35.0,86.0
44.5,59.0
35.0,61.0
44.25,54.0
41.333333333333336,51.0
45.0,62.0
46.0,52.5
33.0,59.0
43.0,52.333333333333336
9.0,55.0
31.5,66.0
45.0,48.0
36.75,52.75
46.0,51.0
46.0,56.666666666666664
40.666666666666664,49.666666666666664
30.0,68.5
39.0,51.0
30.0,66.0
45.0,51.0
40.0,65.0
36.5,51.5
44.5,49.5
46.0,57.0
39.0,48.5
43.0,53.666666666666664
40.0,47.0
47.5,53.5
41.0,54.0
38.5,48.0
34.0,56.0
44.0,57.5
42.0,49.0
35.0,52.0
75.0,51.0
45.0,57.0
44.0,48.5
39.0,66.0
40.0,51.0
45.0,48.0
41.0,49.0
44.666666666666664,58.666666666666664
34.0,57.0
45.0,57.0
43.666666666666664,49.666666666666664
44.0,61.0
40.333333333333336,51.0
35.0,49.0
40.5,50.5
38.0,74.0
37.6,51.2
9.0,49.0
42.5,50.5
44.0,64.0
40.5,48.5
37.0,65.0
42.0,53.0
37.0,48.0
44.0,50.6
39.0,53.0
39.0,65.0
44.0,54.5
34.0,53.0
44.666666666666664,50.666666666666664
39.0,64.0
39.0,48.0
44.0,60.0
38.6,53.4
46.0,58.5
45.666666666666664,53.333333333333336
39.25,52.0
33.0,59.5
42.0,63.0
40.5,50.0
37.666666666666664,51.333333333333336
42.666666666666664,51.333333333333336
35.0,52.5
42.0,46.0
36.0,50.0
43.4,56.0
42.0,51.0
36.333333333333336,49.666666666666664
40.0,64.0
43.0,52.5
18.0,50.0
36.5,55.0
60.0,48.5
43.0,47.0
39.666666666666664,50.333333333333336
34.0,57.0
43.0,49.666666666666664
32.5,59.5
42.5,54.0
27.0,74.0
45.0,56.0
34.75,52.75
43.0,59.5
32.0,62.0
35.5,50.5
44.0,54.333333333333336
31.0,63.0
40.0,49.5
60.0,49.0
43.5,56.5
37.0,50.5
47.0,57.0
39.0,51.0
44.5,49.0
39.333333333333336,48.666666666666664
73.0,56.0
40.666666666666664,49.333333333333336
3.0,69.0
42.666666666666664,51.0
36.0,52.0
42.0,47.0
61.0,63.0
35.333333333333336,49.333333333333336
41.5,62.5
36.0,48.0
33.0,56.5
41.5,54.5
30.0,90.0
34.0,54.0
43.0,52.625
53.0,78.0
40.0,63.0
32.0,63.0
45.0,52.0
35.75,49.5
30.0,67.0
43.0,58.5
35.0,50.0
41.0,46.0
42.75,51.5
33.333333333333336,55.333333333333336
9.0,84.0
32.5,61.0
41.0,52.2
32.0,62.0
35.0,48.5
42.5,51.0
39.0,46.0
38.0,51.5
45.5,56.5
36.0,53.5
43.0,49.0
44.5,59.0
42.333333333333336,51.0
40.666666666666664,49.333333333333336
44.0,60.0
33.5,52.0
45.0,49.0
42.0,59.5
47.0,76.0
42.0,49.5
75.0,56.0
35.0,51.0
44.333333333333336,53.333333333333336
33.0,54.0
40.0,49.333333333333336
27.0,73.0
39.666666666666664,52.0
28.0,69.0
43.0,50.5
42.5,57.0
39.5,50.5
40.5,60.0
34.0,52.5
43.666666666666664,57.666666666666664
38.0,67.0
34.5,50.0
41.5,52.5
42.0,62.0
35.2,50.8
40.0,47.0
45.0,92.0
42.6,50.6
36.5,51.0
33.0,76.0
40.0,48.75
40.0,63.0
42.0,52.5
11.0,83.0
42.5,51.5
33.0,52.0
40.0,53.0
32.5,60.0
37.0,48.0
42.333333333333336,53.0
36.333333333333336,49.0
43.0,53.0
40.5,48.0
40.5,59.0
35.0,50.0
